path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
9-unclassified,other,"how to get rid of pulls in fabric",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of shirt fuzzies",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of shirt pills",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of small lint balls on clothes",50,Medium,38,,,0%
1-damage-care,pilling,"how to get rid of sweater fuzzies",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of sweater lint",500,High,77,0.03,1.36,-90%
1-damage-care,pilling,"how to get rid of sweater pilling",500,High,83,0.08,0.37,900%
1-damage-care,pilling,"how to get rid of sweatshirt pilling",50,High,79,,,0%
1-damage-care,pilling,"how to get rid of the bobbly bits on clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of the fuzz on a sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of those little balls on clothes",50,Medium,57,0.07,1.72,0%
1-damage-care,pilling,"how to get rid of thread balls on clothes",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of tiny balls on clothes",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of white balls on clothes",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of wool balls on sweaters",50,Low,6,,,0%
1-damage-care,pilling,"how to get rid of wool bobbles",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of wool fuzz",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of wool pilling",50,Low,21,,,0%
1-damage-care,pilling,"how to get rid of wool sweater pilling",50,Unknown,,,,-100%
1-damage-care,shoe-yellowing,"how to get yellow soles white",50,Unknown,,,,-100%
1-damage-care,shoe-yellowing,"how to get yellow soles white again",50,High,86,,,0%
1-damage-care,pilling,"how to keep a sweater from pilling",500,Low,20,0.03,1.34,0%
1-damage-care,pilling,"how to keep fuzz balls off clothes",50,High,100,,,0%
1-damage-care,pilling,"how to keep lint balls off clothes",50,High,68,,,0%
1-damage-care,shoe-yellowing,"how to make yellow rubber shoes white again",50,Unknown,,,,-100%
1-damage-care,shoe-yellowing,"how to make yellow shoe soles white again",50,Medium,49,,,0%
1-damage-care,shoe-yellowing,"how to make yellow sole white again",50,Unknown,,,,0%
1-damage-care,shoe-yellowing,"how to make yellow soles white",50,Medium,36,,,0%
1-damage-care,shoe-yellowing,"how to make yellow soles white again",50,Medium,63,,,0%
1-damage-care,shoe-yellowing,"how to make your yellow soles white again",50,High,100,,,0%
5-marketplace-howto,photos,"how to photograph clothes for ebay",50,Low,8,,,0%
5-marketplace-howto,photos,"how to photograph clothes to sell online",50,Low,33,0.22,1.92,0%
1-damage-care,pilling,"how to pill a sweater",50,High,79,,,0%
1-damage-care,pilling,"how to prevent bobbles on clothes",500,Low,28,0.42,1.72,0%
1-damage-care,pilling,"how to prevent fuzz balls on sweaters",50,High,100,,,new
1-damage-care,pilling,"how to prevent fuzzies on sweaters",50,Medium,43,,,new
1-damage-care,pilling,"how to prevent lint balls on blankets",50,High,86,,,0%
1-damage-care,pilling,"how to prevent lint balls on sweaters",50,Unknown,,,,-100%
1-damage-care,pilling,"how to prevent lint balls on sweatpants",50,Low,10,,,0%
1-damage-care,pilling,"how to prevent pilling in clothes",50,Low,21,,,0%
1-damage-care,pilling,"how to prevent sweater pilling",500,Low,20,0.03,1.34,0%
4-value,pricing,"how to price clothes for resale",50,Low,8,0.04,2.62,0%
1-damage-care,pilling,"how to reduce pilling on clothing",50,Unknown,,,,0%
1-damage-care,pilling,"how to reduce pilling on sweaters",500,Low,20,0.03,1.34,0%
1-damage-care,pilling,"how to remove balls from cashmere sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove balls from fabric",50,High,100,0.27,1.27,0%
1-damage-care,pilling,"how to remove balls from fabric couch",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove balls from wool sweater",50,Low,6,,,0%
1-damage-care,pilling,"how to remove balls off sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove balls on sweaters",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove blanket fuzz from clothes",50,High,92,,,0%
1-damage-care,pilling,"how to remove bobbles",50,Low,0,,,0%
1-damage-care,pilling,"how to remove bobbles from coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from fabric",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from hoodie",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from joggers",0,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from knitwear",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from tracksuit bottoms",0,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from trousers",0,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from wool clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbles from wool coat",50,Low,21,,,0%
1-damage-care,pilling,"how to remove bobbles off clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove bobbling from cotton clothes",0,Unknown,,,,0%
1-damage-care,pilling,"how to remove bobbling from sweater",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove bobbly bits from clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove cashmere pilling",50,High,100,,,0%
1-damage-care,pilling,"how to remove cashmere pills",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove cloth balls from clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove clothes bobbles",50,Low,1,,,0%
1-damage-care,pilling,"how to remove clothes pilling",50,Low,0,,,0%
1-damage-care,pilling,"how to remove clothing fuzz",50,Low,0,,,0%
1-damage-care,pilling,"how to remove clothing pills",50,Low,0,,,0%
1-damage-care,pilling,"how to remove cotton balls from sweater",50,High,100,,,0%
1-damage-care,pilling,"how to remove fabric balls",50,High,100,0.27,1.27,0%
1-damage-care,pilling,"how to remove fabric balls from sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fabric fuzz",50,High,89,0.15,1.26,0%
1-damage-care,pilling,"how to remove fabric pilling from clothes",50,High,88,0.28,1.26,0%
1-damage-care,pilling,"how to remove fluff from clothing",5000,Medium,52,0.24,1.49,0%
1-damage-care,pilling,"how to remove fluff from coat",50,Low,2,,,0%
1-damage-care,pilling,"how to remove fluff from hoodie",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fluff from jacket",50,Low,0,,,0%
1-damage-care,pilling,"how to remove fluff from knitwear",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fluff from new hoodie",50,Low,1,,,0%
1-damage-care,pilling,"how to remove fluff from sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fluff from trousers",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fluff from wool sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fur balls from sweaters",50,High,100,,,0%
1-damage-care,pilling,"how to remove fuzz balls",500,Low,30,0.07,1.41,0%
1-damage-care,pilling,"how to remove fuzz balls from blankets",50,High,93,,,0%
1-damage-care,pilling,"how to remove fuzz balls from cashmere sweater",50,High,100,,,0%
1-damage-care,pilling,"how to remove fuzz balls from fabric",50,High,92,0.05,1.27,0%
1-damage-care,pilling,"how to remove fuzz balls from fleece",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz balls from hoodie",50,Low,0,,,0%
1-damage-care,pilling,"how to remove fuzz balls from leggings",50,Low,0,,,new
1-damage-care,pilling,"how to remove fuzz balls from shirt",50,Low,29,,,new
1-damage-care,pilling,"how to remove fuzz balls from sweatpants",50,High,86,,,0%
1-damage-care,pilling,"how to remove fuzz balls from sweatshirts",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how to remove fuzz balls from wool coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz balls from wool sweater",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz balls off sweaters",50,High,100,,,0%
1-damage-care,pilling,"how to remove fuzz balls on clothes",500,High,71,0.27,1.57,0%
1-damage-care,pilling,"how to remove fuzz balls on sweaters",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how to remove fuzz from black clothes",500,Low,10,,,0%
1-damage-care,pilling,"how to remove fuzz from clothes in dryer",50,Medium,50,,,0%
1-damage-care,pilling,"how to remove fuzz from coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz from fabric",50,High,91,0.26,1.40,0%
1-damage-care,pilling,"how to remove fuzz from fleece jacket",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fuzz from hoodies",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fuzz from jacket",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove fuzz from knit sweaters",50,High,84,,,0%
1-damage-care,pilling,"how to remove fuzz from pants",50,Low,6,,,0%
1-damage-care,pilling,"how to remove fuzz from sheets",50,High,100,,,0%
1-damage-care,pilling,"how to remove fuzz from shirt",50,High,82,,,0%
1-damage-care,pilling,"how to remove fuzz from sweatpants",50,High,86,,,0%
1-damage-care,pilling,"how to remove fuzz from sweatshirts",50,High,86,,,0%
1-damage-care,pilling,"how to remove fuzz from wool coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz from wool sweater",50,High,93,,,0%
1-damage-care,pilling,"how to remove fuzz from woolen clothes",0,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzz off sweaters",50,Low,0,,,0%
1-damage-care,pilling,"how to remove fuzz on sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove fuzzy sweater pillings",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove hoodie fuzz",50,Low,14,,,0%
1-damage-care,pilling,"how to remove knit balls from sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove lint balls from a sweater",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how to remove lint balls from black clothes",50,Low,0,,,new
1-damage-care,pilling,"how to remove lint balls from blanket",50,High,94,,,0%
1-damage-care,pilling,"how to remove lint balls from clothes without roller",50,High,67,,,0%
1-damage-care,pilling,"how to remove lint balls from cotton clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove lint balls from fabric",50,Medium,64,,,0%
1-damage-care,pilling,"how to remove lint balls from fleece",50,High,100,,,new
1-damage-care,pilling,"how to remove lint balls from hoodie",50,High,100,,,0%
1-damage-care,pilling,"how to remove lint balls from jacket",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove lint balls from leggings",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove lint balls from pants",50,Medium,48,,,0%
1-damage-care,pilling,"how to remove lint balls from polyester",50,Medium,46,,,0%
1-damage-care,pilling,"how to remove lint balls from shirt",50,Low,17,,,new
1-damage-care,pilling,"how to remove lint balls from sofa",50,High,100,0.24,0.53,0%
1-damage-care,pilling,"how to remove lint balls from sweater",500,High,73,0.08,0.52,0%
1-damage-care,pilling,"how to remove lint balls from sweatpants",50,Low,4,,,0%
1-damage-care,pilling,"how to remove lint balls from sweatshirt",50,High,100,,,0%
1-damage-care,pilling,"how to remove lint balls from wool coat",50,High,100,,,new
1-damage-care,pilling,"how to remove lint balls from woolen clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove lint balls off sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove lint balls on clothes",5000,High,89,0.08,1.41,0%
1-damage-care,pilling,"how to remove lint from cashmere sweater",50,High,100,,,0%
1-damage-care,pilling,"how to remove lint from fabric sofa",50,Medium,60,,,0%
1-damage-care,pilling,"how to remove lint from fleece jacket",50,High,100,,,0%
1-damage-care,pilling,"how to remove lint from knit sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove lint from sweaters at home",50,Medium,54,,,0%
1-damage-care,pilling,"how to remove lint from wool sweater",50,High,67,,,0%
1-damage-care,pilling,"how to remove lint fuzz from clothes",50,Medium,57,,,0%
1-damage-care,pilling,"how to remove lint on sweater",500,High,77,0.03,1.36,-90%
1-damage-care,pilling,"how to remove lint pills",50,Medium,51,,,0%
1-damage-care,pilling,"how to remove lint with razor",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove little balls from sweaters",50,Low,7,,,0%
1-damage-care,pilling,"how to remove little lint balls from sweaters",50,High,79,,,0%
9-unclassified,other,"how to remove nubs from sweaters",50,High,100,,,0%
9-unclassified,other,"how to remove pekas on clothing",50,Low,0,,,new
9-unclassified,other,"how to remove pile from clothes",50,High,100,,,0%
9-unclassified,other,"how to remove pile from sweaters",50,High,79,,,0%
1-damage-care,pilling,"how to remove pilled fabric",50,Medium,63,,,0%
1-damage-care,pilling,"how to remove pilling from bathing suit",50,Low,8,,,0%
1-damage-care,pilling,"how to remove pilling from cashmere sweater",50,High,100,0.08,0.65,0%
1-damage-care,pilling,"how to remove pilling from clothes reddit",50,Low,0,,,0%
1-damage-care,pilling,"how to remove pilling from coat",50,Medium,43,,,0%
1-damage-care,pilling,"how to remove pilling from fleece",50,Medium,57,,,0%
1-damage-care,pilling,"how to remove pilling from fleece jacket",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove pilling from hoodies",50,High,71,,,0%
1-damage-care,pilling,"how to remove pilling from jacket",50,Medium,43,,,0%
1-damage-care,pilling,"how to remove pilling from knit sweaters",50,Medium,33,,,0%
1-damage-care,pilling,"how to remove pilling from knitwear",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove pilling from lululemon leggings",50,Low,29,,,0%
1-damage-care,pilling,"how to remove pilling from pants",50,High,85,0.29,1.82,0%
1-damage-care,pilling,"how to remove pilling from patagonia better sweater",50,Low,2,,,0%
1-damage-care,pilling,"how to remove pilling from polyester",50,Medium,43,,,0%
1-damage-care,pilling,"how to remove pilling from polyester fabric",50,High,71,,,0%
1-damage-care,pilling,"how to remove pilling from satin",50,Medium,57,,,0%
1-damage-care,pilling,"how to remove pilling from shirt",50,Medium,61,0.07,1.26,0%
1-damage-care,pilling,"how to remove pilling from silk",50,Medium,50,,,0%
1-damage-care,pilling,"how to remove pilling from sweatpants",50,High,100,0.09,1.01,0%
1-damage-care,pilling,"how to remove pilling from swimsuit",50,Low,3,,,0%
1-damage-care,pilling,"how to remove pilling from t shirt",50,Medium,53,0.13,1.42,0%
1-damage-care,pilling,"how to remove pilling from wool",50,High,99,0.31,1.01,0%
1-damage-care,pilling,"how to remove pilling from wool coat",50,Low,21,,,0%
1-damage-care,pilling,"how to remove pilling from woolen clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove pilling from yoga pants",50,Low,0,,,new
1-damage-care,pilling,"how to remove pilling on a sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove pilling on cashmere sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove pilling on leggings",50,Low,0,,,0%
1-damage-care,pilling,"how to remove pilling on lululemon leggings",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove pilling on sweaters",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove pilling on wool sweater",50,High,71,,,0%
1-damage-care,pilling,"how to remove pilling with a razor",50,Medium,43,,,0%
1-damage-care,pilling,"how to remove pills from a sweater",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove pills from leggings",50,Low,0,,,0%
1-damage-care,pilling,"how to remove pills from shirt",50,Medium,38,,,0%
1-damage-care,pilling,"how to remove pills from sweaters with razor",50,Medium,62,,,0%
1-damage-care,pilling,"how to remove pills from sweatshirt",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove pills from wool coat",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove pills from wool sweater",50,High,100,0.06,0.44,0%
1-damage-care,pilling,"how to remove pills off sweaters",50,Low,14,,,new
1-damage-care,pilling,"how to remove pills on clothes",5000,High,93,0.10,1.35,0%
1-damage-care,pilling,"how to remove pills on sweaters",500,High,84,0.09,0.41,0%
1-damage-care,pilling,"how to remove small balls from sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove small cotton balls from clothes",50,High,67,,,0%
1-damage-care,pilling,"how to remove sweater fuzz from clothes",50,Low,0,,,0%
1-damage-care,pilling,"how to remove sweater pills at home",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove sweatshirt pilling",50,Medium,43,,,0%
1-damage-care,pilling,"how to remove the balls on sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove the fuzz from a sweater",500,Medium,51,0.07,0.50,0%
1-damage-care,pilling,"how to remove thread balls from clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove tiny lint balls",50,Low,0,,,0%
1-damage-care,pilling,"how to remove wool balls from sweater",50,Low,6,,,0%
1-damage-care,pilling,"how to remove wool bobbles from clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to remove wool bobbles from sweater",50,High,100,0.06,0.44,0%
1-damage-care,pilling,"how to remove wool fuzz",50,Unknown,,,,-100%
1-damage-care,pilling,"how to remove wool sweater pills",50,High,100,0.06,0.44,0%
1-damage-care,shoe-yellowing,"how to remove yellow oxidation from shoes",50,Medium,44,,,0%
1-damage-care,pilling,"how to shave a sweater without a sweater shaver",50,Medium,48,,,0%
1-damage-care,pilling,"how to shave bobbles off clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to shave fuzz off a sweater",50,High,94,,,0%
1-damage-care,pilling,"how to shave lint off sweater",50,Low,0,,,0%
1-damage-care,pilling,"how to shave pills off a sweater",50,High,71,,,0%
1-damage-care,pilling,"how to shave sweater lint",50,Unknown,,,,0%
1-damage-care,pilling,"how to stop bobbles on clothes",50,Unknown,,,,-100%
1-damage-care,pilling,"how to stop fluff balls on clothes",0,Unknown,,,,0%
1-damage-care,pilling,"how to stop leggings from pilling",50,Low,1,,,0%
1-damage-care,pilling,"how to stop sweaters from fuzzing",50,Unknown,,,,0%
5-marketplace-howto,photos,"how to take a picture of clothes to sell",50,Low,12,,,0%
1-damage-care,pilling,"how to take bobbles off clothes",50,Unknown,,,,0%
1-damage-care,pilling,"how to take fuzz balls off sweaters",50,High,100,,,0%
1-damage-care,pilling,"how to take fuzz off sweaters",50,High,83,,,0%
1-damage-care,pilling,"how to take fuzzies off a sweater",50,High,100,,,0%
5-marketplace-howto,photos,"how to take good photos of clothes to sell",50,Low,14,0.05,5.42,0%
5-marketplace-howto,photos,"how to take good photos to sell clothes",50,Low,27,0.36,2.13,0%
5-marketplace-howto,photos,"how to take good pics of clothes to sell",50,Low,21,0.35,2.42,0%
5-marketplace-howto,photos,"how to take good pictures for selling clothes",50,Low,14,,,0%
5-marketplace-howto,photos,"how to take good pictures of clothes for poshmark",50,Unknown,,,,-100%
5-marketplace-howto,photos,"how to take good pictures of clothes for sale",50,Low,26,0.17,3.77,0%
5-marketplace-howto,photos,"how to take good pictures to sell clothes",50,Low,7,,,0%
1-damage-care,pilling,"how to take lint balls off of clothes",50,Medium,40,,,0%
1-damage-care,pilling,"how to take lint balls off sweaters",50,High,100,,,0%
1-damage-care,pilling,"how to take off lint balls",50,Unknown,,,,0%
1-damage-care,pilling,"how to take off lint balls from clothes",50,High,81,0.09,1.41,0%
1-damage-care,pilling,"how to take off pilling from clothes",50,High,90,,,0%
1-damage-care,pilling,"how to take out lint balls from clothes",50,Low,21,,,0%
5-marketplace-howto,photos,"how to take photo of clothes to sell",50,Low,22,0.37,3.06,0%
5-marketplace-howto,photos,"how to take photos for selling clothes",50,Low,0,,,0%
5-marketplace-howto,photos,"how to take photos of clothes to sell online",500,Low,29,0.55,3.50,900%
5-marketplace-howto,photos,"how to take photos to sell clothes",50,Medium,39,0.55,1.59,0%
5-marketplace-howto,photos,"how to take pictures for selling clothes",50,Low,8,,,0%
5-marketplace-howto,photos,"how to take pictures of clothes for ebay",50,Low,13,,,0%
5-marketplace-howto,photos,"how to take pictures of clothes for poshmark",50,Low,10,,,0%
5-marketplace-howto,photos,"how to take pictures of clothes to sell on ebay",50,Medium,57,,,0%
5-marketplace-howto,photos,"how to take pictures of clothes to sell on poshmark",50,Low,0,,,0%
5-marketplace-howto,photos,"how to take pictures of clothes to sell with iphone",50,Medium,45,0.38,3.09,0%
5-marketplace-howto,photos,"how to take pictures of clothes to sell without mannequin",50,Low,26,1.20,7.98,0%
5-marketplace-howto,photos,"how to take pictures of dresses to sell",50,Low,2,,,0%
5-marketplace-howto,photos,"how to take pictures of shirts to sell",50,Low,9,,,0%
5-marketplace-howto,photos,"how to take pictures of used clothes to sell",50,Low,0,,,0%
1-damage-care,pilling,"how to take pills off a sweater",50,High,86,,,0%
1-damage-care,pilling,"how to take pills off sweaters",50,Unknown,,,,-100%
1-damage-care,pilling,"how to treat pilling on sweaters",50,Medium,43,,,0%
1-damage-care,shoe-yellowing,"how to turn yellow shoe soles white again",50,High,69,,,0%
1-damage-care,shoe-yellowing,"how to turn yellow soles white again",50,Medium,37,,,0%
1-damage-care,pilling,"how to use a lint shaver",50,Low,0,,,0%
1-damage-care,pilling,"how to use a razor to remove pilling",50,Unknown,,,,-100%
1-damage-care,pilling,"how to use a sweater comb",500,Low,7,,,0%
1-damage-care,pilling,"how to use fabric shaver",500,Low,5,,,-90%
1-damage-care,pilling,"how to use fluff shaver",50,Unknown,,,,-100%
1-damage-care,pilling,"how to use sweater shaver",50,Low,0,,,0%
1-damage-care,pilling,"how to wash sweaters without lint balls",50,Low,7,,,0%
1-damage-care,shoe-yellowing,"how to whiten icy soles",50,Low,0,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellow rubber on shoes",50,High,78,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellow rubber on sneakers",50,High,71,,,new
1-damage-care,shoe-yellowing,"how to whiten yellow rubber soles",50,Medium,57,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellow sneaker soles",50,High,87,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellow sole",50,Low,32,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellow soles of shoes",50,Unknown,,,,-100%
1-damage-care,shoe-yellowing,"how to whiten yellow soles on shoes",50,High,70,0.23,1.09,900%
1-damage-care,shoe-yellowing,"how to whiten yellow soles on shoes home remedy",50,Unknown,,,,-100%
1-damage-care,shoe-yellowing,"how to whiten yellow soles on shoes with baking soda",50,Unknown,,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellowed rubber on shoes",50,High,78,,,0%
1-damage-care,shoe-yellowing,"how to whiten yellowed sneaker soles",50,High,87,,,0%
5-marketplace-howto,photos,"instagram how to take picture of clothes to sell",50,Low,0,,,0%
9-unclassified,other,"is depop or mercari better",50,Low,14,12.22,47.59,0%
9-unclassified,other,"is mercari or depop better",50,Low,5,,,0%
7-positioning,comparison,"mercari vs poshmark vs depop",50,Low,23,,,0%
1-damage-care,pilling,"pills on cashmere sweater how to remove",50,Unknown,,,,-100%
3-tools,inventory,"poshmark reseller spreadsheet",50,High,93,,,0%
7-positioning,comparison,"poshmark vs depop vs mercari",50,Low,5,,,0%
8-vintage-auth,single-stitch,"single stitch blank shirts",50,High,100,,,0%
8-vintage-auth,single-stitch,"single stitch shirt example",50,Medium,53,,,0%
8-vintage-auth,single-stitch,"single stitch shirt vintage",50,High,92,,,0%
8-vintage-auth,single-stitch,"single stitch t",50,High,100,,,0%
8-vintage-auth,single-stitch,"single stitch t shirt example",50,High,87,,,0%
8-vintage-auth,single-stitch,"single stitch t shirt vintage",500,High,89,0.04,1.00,900%
8-vintage-auth,single-stitch,"single stitch tee shirt",50,High,100,,,0%
8-vintage-auth,single-stitch,"single stitch vintage shirt",50,High,87,,,0%
8-vintage-auth,single-stitch,"single stitch vintage t shirt",50,High,93,0.01,0.09,0%
8-vintage-auth,single-stitch,"t shirt single stitch",50,Medium,45,,,0%
8-vintage-auth,single-stitch,"vintage carhartt single stitch shirt",50,Unknown,,,,0%
8-vintage-auth,single-stitch,"vintage single stitch",50,High,78,0.29,1.77,0%
8-vintage-auth,single-stitch,"vintage single stitch shirt",500,High,92,0.04,0.33,0%
8-vintage-auth,single-stitch,"vintage single stitch shirt example",50,High,100,,,0%
8-vintage-auth,single-stitch,"vintage single stitch t shirt",500,High,89,0.05,0.34,0%
8-vintage-auth,single-stitch,"vintage single stitch tee",50,High,97,,,0%
8-vintage-auth,single-stitch,"vintage t shirt single stitch",50,High,100,,,0%
9-unclassified,other,"which is better mercari or depop",50,Low,2,,,0%
4-value,pricing,"vintage t shirt value",0,Unknown,,,,--
