id,inventory_item_id,photo_url,storage_path,photo_type,sort_order,used_for_grading,ebay_uploaded,archived_to_r2,created_at,thumbnail_url,thumbnail_storage_path,width,height,bytes,captured_at,reconcile_session_id,is_hidden,phash
65f6ff60-365a-4541-9ce4-b366e80d9354,126e46d7-c09f-469c-bf84-6ae823225cbc,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/2a4d51af-4aa5-4ee1-a707-f764932b21fb.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/2a4d51af-4aa5-4ee1-a707-f764932b21fb.png,tag,3,false,false,false,2026-06-06 02:50:08.299514+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/2a4d51af-4aa5-4ee1-a707-f764932b21fb_thumb.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/2a4d51af-4aa5-4ee1-a707-f764932b21fb_thumb.png,2400,1800,4459276,null,null,false,null
899cdfc1-467f-4768-8562-c0aec4f1513d,126e46d7-c09f-469c-bf84-6ae823225cbc,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/95da97d5-7e32-4bf5-944c-acbc72f80ab9.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/95da97d5-7e32-4bf5-944c-acbc72f80ab9.png,tag,4,false,false,false,2026-06-06 02:50:08.299514+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/95da97d5-7e32-4bf5-944c-acbc72f80ab9_thumb.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/95da97d5-7e32-4bf5-944c-acbc72f80ab9_thumb.png,2400,1800,4900847,null,null,false,null
723763d0-8cbd-40c8-b5fe-5543999913e3,126e46d7-c09f-469c-bf84-6ae823225cbc,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/f8443cdb-1472-429b-9cfb-297ae700ea49.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/f8443cdb-1472-429b-9cfb-297ae700ea49.png,tag,5,false,false,false,2026-06-06 02:50:08.299514+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/f8443cdb-1472-429b-9cfb-297ae700ea49_thumb.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/f8443cdb-1472-429b-9cfb-297ae700ea49_thumb.png,2400,1800,4158480,null,null,false,null
9c457611-720b-48a7-9908-503a2490dac2,126e46d7-c09f-469c-bf84-6ae823225cbc,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/5541ab60-f992-401d-8d2a-a94b8c4cadc4.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/5541ab60-f992-401d-8d2a-a94b8c4cadc4.jpg,detail,6,false,false,false,2026-06-06 02:50:08.299514+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/5541ab60-f992-401d-8d2a-a94b8c4cadc4_thumb.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/5541ab60-f992-401d-8d2a-a94b8c4cadc4_thumb.jpg,2400,1800,739785,null,null,false,null
81f68667-3844-4834-a132-1aaedd18aca1,126e46d7-c09f-469c-bf84-6ae823225cbc,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/4c8e7054-c2aa-4f05-b899-388f1d5c630d.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/4c8e7054-c2aa-4f05-b899-388f1d5c630d.png,detail,7,false,false,false,2026-06-06 02:50:08.299514+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/4c8e7054-c2aa-4f05-b899-388f1d5c630d_thumb.png,c55c2414-7e0b-4431-944e-c0a16887bf31/_staging/fe5df331-2b33-4c08-9439-ae8533f10738/4c8e7054-c2aa-4f05-b899-388f1d5c630d_thumb.png,2400,1800,3963445,null,null,false,null
9bd5a1f9-1e3b-45a0-abfd-7bba33c01559,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/front_1780952854343.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/front_1780952854343.jpg,front,0,false,false,false,2026-06-08 21:07:38.284343+00,null,null,null,null,319591,2026-05-30 02:41:34+00,null,false,null
d71ab300-dd99-4bd2-b785-b4a292fe3bb5,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/back_1780952854345.jpg?v=1780955534217,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/back_1780952854345.jpg,back,1,false,false,false,2026-06-08 21:07:39.316262+00,null,null,null,null,347376,2026-05-30 02:42:39+00,null,false,null
f85d0746-280e-4266-a3b8-1985b8bc4ef7,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/detail_1780952854349.jpg?v=1780955540357,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/detail_1780952854349.jpg,tag,2,false,false,false,2026-06-08 21:07:39.288776+00,null,null,null,null,761760,2026-05-30 02:41:48+00,null,false,null
5d5475c2-594e-42d8-9bf2-acebcd780501,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/tag_1780952854347.jpg?v=1780955546298,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/tag_1780952854347.jpg,tag_2,3,false,false,false,2026-06-08 21:07:38.677653+00,null,null,null,null,555486,2026-05-30 02:41:37+00,null,false,null
346c43e0-1478-428b-b279-2156907c1224,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/measurement_waist_1780955517049.png?v=1781095777254,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/measurement_waist_1780955517049.png,measurement_waist,4,false,false,false,2026-06-08 21:51:59.138547+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/thumbs/measurement_waist_1780955517049.png,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/thumbs/measurement_waist_1780955517049.png,2400,1800,3963445,null,null,false,null
551296c4-09b4-4d4d-9fb2-9c05990d003f,16f067db-e2bf-4092-9650-203a1e0d527f,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/measurement_length_1780955566410.png?v=1781095788073,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/measurement_length_1780955566410.png,measurement_length,5,false,false,false,2026-06-08 21:52:50.590359+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/thumbs/measurement_length_1780955566410.png,c55c2414-7e0b-4431-944e-c0a16887bf31/16f067db-e2bf-4092-9650-203a1e0d527f/thumbs/measurement_length_1780955566410.png,2400,1800,3914777,null,null,false,null
785206a0-716f-442b-8a03-4071175cc1d5,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/front_1782168293171.jpg?v=1782177219876,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/front_1782168293171.jpg,front,0,false,false,false,2026-06-22 22:44:59.41803+00,null,null,1536,2048,852576,2026-06-22 22:44:33+00,null,false,null
e9f2756e-3234-4f04-84f6-54e5a8b12f0b,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/back_1782168293174.jpg?v=1782177211273,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/back_1782168293174.jpg,back,1,false,false,false,2026-06-22 22:44:57.522461+00,null,null,1536,2048,904472,2026-06-22 22:44:34+00,null,false,null
b170098b-d987-46a5-a944-22477f5242b4,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/detail_1782168293178.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/detail_1782168293178.jpg,detail,2,false,false,false,2026-06-22 22:45:05.236541+00,null,null,null,null,1044612,2026-06-22 22:44:36+00,null,false,null
2a414973-48fb-4f99-b500-58c7053bcd68,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/tag_1782168293176.jpg,tag,3,false,false,false,2026-06-22 22:44:57.600854+00,null,null,null,null,1245104,2026-06-22 22:44:34+00,null,false,null
b082b190-1b61-4f6c-b214-f868953f8cc1,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/measurement_chest_1782168293180.jpg?v=1782177225398,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/measurement_chest_1782168293180.jpg,measurement_chest,4,false,false,false,2026-06-22 22:45:05.197607+00,null,null,1536,2048,1304737,2026-06-22 22:44:35+00,null,false,null
16dffe58-76b1-4271-8622-f058d1b79033,3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/measurement_length_1782168293182.jpg?v=1782177235126,c55c2414-7e0b-4431-944e-c0a16887bf31/3cd1d0ec-0dca-4d4d-8788-c4a19fb1e768/measurement_length_1782168293182.jpg,measurement_length,5,false,false,false,2026-06-22 22:45:05.518987+00,null,null,1536,2048,1222745,2026-06-22 22:44:36+00,null,false,null
91b98594-41e3-4d76-ab01-ba363068b551,414ddc1a-f66f-4e4d-9fd6-774affd269d5,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/back_1782186363805.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/back_1782186363805.jpg,back,0,false,false,false,2026-06-23 03:46:06.331732+00,null,null,null,null,508027,2026-06-23 03:45:34+00,null,false,null
28b85589-42c4-47c5-a980-ed56ff514792,414ddc1a-f66f-4e4d-9fd6-774affd269d5,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/front_1782186363803.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/front_1782186363803.jpg,front,0,false,false,false,2026-06-23 03:46:07.017395+00,null,null,null,null,609423,2026-06-23 03:45:33+00,null,false,null
6aea1356-5adc-47b6-a193-eef7bfc6ef24,414ddc1a-f66f-4e4d-9fd6-774affd269d5,,c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/tag_1782186363806.jpg,tag,2,false,false,false,2026-06-23 03:46:06.107843+00,null,null,null,null,465891,2026-06-23 03:45:34+00,null,false,null
23cefc21-e94d-4442-a4af-b16adef4d928,414ddc1a-f66f-4e4d-9fd6-774affd269d5,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/detail_1782186363808.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/detail_1782186363808.jpg,detail,3,false,false,false,2026-06-23 03:46:08.223762+00,null,null,null,null,462592,2026-06-23 03:45:35+00,null,false,null
29ce3c6f-59be-4ac7-9c8a-ea342ae1afc8,414ddc1a-f66f-4e4d-9fd6-774affd269d5,,c55c2414-7e0b-4431-944e-c0a16887bf31/414ddc1a-f66f-4e4d-9fd6-774affd269d5/tag_2_1782186363810.jpg,tag_2,4,false,false,false,2026-06-23 03:46:08.086963+00,null,null,null,null,583329,2026-06-23 03:45:35+00,null,false,null
9f9c50f4-9ab7-4770-80ed-9bced475be43,4817e317-598b-4071-a376-fb7b292b39e9,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/front_1780800200025.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/front_1780800200025.jpg,front,0,false,false,false,2026-06-07 02:43:22.688632+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/front_1780800200025.webp,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/front_1780800200025.webp,480,640,60259,null,null,false,null
918047f0-8f79-4762-bd7b-c2394c0f53e8,4817e317-598b-4071-a376-fb7b292b39e9,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/back_1780800203657.webp,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/back_1780800203657.webp,back,1,false,false,false,2026-06-07 02:43:26.120653+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/back_1780800203657.webp,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/back_1780800203657.webp,480,640,60574,null,null,false,null
f80b6f17-0730-4f85-a4f9-8f87f958f3ce,4817e317-598b-4071-a376-fb7b292b39e9,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/tag_1780800210942.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/tag_1780800210942.jpg,tag,2,false,false,false,2026-06-07 02:43:33.00964+00,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/tag_1780800210942.webp,c55c2414-7e0b-4431-944e-c0a16887bf31/4817e317-598b-4071-a376-fb7b292b39e9/thumbs/tag_1780800210942.webp,480,640,76233,null,null,false,null
e645cb80-0dd1-4552-83f4-89784b0efadb,4e1c78d1-9557-4733-9538-34f958b56020,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/front_1782420822062.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/front_1782420822062.jpg,front,0,false,false,false,2026-06-25 20:53:46.154772+00,null,null,null,null,597366,2026-06-25 20:53:12+00,null,false,null
98f128b1-3999-4fd0-ac5f-ae529d9811df,4e1c78d1-9557-4733-9538-34f958b56020,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/back_1782420822064.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/back_1782420822064.jpg,back,1,false,false,false,2026-06-25 20:53:46.259155+00,null,null,null,null,559472,2026-06-25 20:53:13+00,null,false,null
157a03d2-6879-4068-bdb8-a2872ebbe1d5,4e1c78d1-9557-4733-9538-34f958b56020,https://api.gradethread.com/storage/v1/object/public/item-photos/c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/detail_1782420822067.jpg,c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/detail_1782420822067.jpg,detail,2,false,false,false,2026-06-25 20:53:47.221223+00,null,null,null,null,1551342,2026-06-25 20:53:13+00,null,false,null
8fb37352-ad9f-4d67-ad52-03bb89fa49c2,4e1c78d1-9557-4733-9538-34f958b56020,,c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/tag_2_1782420822069.jpg,tag_2,3,false,false,false,2026-06-25 20:53:48.286402+00,null,null,null,null,1545424,2026-06-25 20:53:15+00,null,false,null
68d7f15a-ebf3-4360-9015-f3964bbf75e2,4e1c78d1-9557-4733-9538-34f958b56020,,c55c2414-7e0b-4431-944e-c0a16887bf31/4e1c78d1-9557-4733-9538-34f958b56020/tag_1782420822065.jpg,tag,4,false,false,false,2026-06-25 20:53:46.334099+00,null,null,null,null,1196055,2026-06-25 20:53:13+00,null,false,null
